S.N.,SEGEMENT,PARTICULARS,BUDGETED AMOUNT FOR THE YEAR (NPR),VALUE,MONTH_NAME,YEAR
E.,OTHER INCOME,SMS Gateway Maintenance Charge,120000.0,20000.0,ASHWIN,2082
E.,OTHER INCOME,Other Income,838269.1790000001,50000.0,ASHWIN,2082
A.,CARD SEGMENT,Card Sales,4836000.0,241800.0,KARTIK,2082
A.,CARD SEGMENT,Free Card Incentive (New Deal),9204000.0,460200.0,KARTIK,2082
A.,CARD SEGMENT,Card Personalization Fee,3500000.0,175000.0,KARTIK,2082
A.,CARD SEGMENT,Annual Subscription Fee,10000000.0,833333.3333333334,KARTIK,2082
A.,CARD SEGMENT,ATM Management Fee,2491813.812,207651.15099999998,KARTIK,2082
A.,CARD SEGMENT,Card renewal fee,10000000.0,833333.3333333334,KARTIK,2082
A.,CARD SEGMENT,Transactional Revenue,7497702.446017699,596746.6363000163,KARTIK,2082
A.,CARD SEGMENT,Incentive from UPI for Free Card,4384000.0,219200.0,KARTIK,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Global),25000000.0,2083333.3333333333,KARTIK,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Prabhu),15000000.0,0.0,KARTIK,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - Commercial Bank 1),10000000.0,0.0,KARTIK,2082
A.,CARD SEGMENT,Transaction Fee Income (VISA - IME PAY),900000.0,0.0,KARTIK,2082
A.,CARD SEGMENT,Net Revenue from Pulse Acquiring,3087879.8204601766,220869.1816023599,KARTIK,2082
A.,CARD SEGMENT,Net Revenue from Mastercard Acquiring,352750.5066902655,25231.459853539825,KARTIK,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Module Fee,1000000.0,0.0,KARTIK,2082
A.,CARD SEGMENT,Visa Acquiring Fees (From SCT Network Membes) - Transaction Fee,500000.0,0.0,KARTIK,2082
B.,QR SEGMENT,Revenue from P2P Fund Transfer,720000.0,56139.3,KARTIK,2082
C,SMARTBANKING SEGMENT,Gross Revenue from SmartBanking,32535852.8,0.0,KARTIK,2082
D,SMARTPAY SEGMENT,Gross Revenue from IBFT Project,13600000.0,0.0,KARTIK,2082
E.,OTHER INCOME,Interest Income,1754506.1039999998,0.0,KARTIK,2082
E.,OTHER INCOME,Revenue from DMS User Fee,600000.0,30000.0,KARTIK,2082
E.,OTHER INCOME,PIN Change from POS/Cash Advance POS,1500000.0,0.0,KARTIK,2082
E.,OTHER INCOME,API Suite,2000000.0,160000.0,KARTIK,2082
